Recipe ID,Recipe Name,Tag Group,Total Recommendations,Matches,Precision,Best Match Score
190648,all purpose herbed butter,time_tags,25,0,0.0,0.0
190648,all purpose herbed butter,course_tags,25,0,0.0,0.0
190648,all purpose herbed butter,cuisine_tags,25,1,0.04,1.0
190648,all purpose herbed butter,dietary_tags,25,0,0.0,0.0
190648,all purpose herbed butter,ingredient_tags,25,0,0.0,0.0
190648,all purpose herbed butter,taste_mood_tags,25,2,0.08,1.0
190648,all purpose herbed butter,occasion_tags,25,0,0.0,0.0
190648,all purpose herbed butter,technique_tags,25,0,0.0,0.0
190648,all purpose herbed butter,equipment_tags,25,0,0.0,0.0
190648,all purpose herbed butter,Health_tags,25,0,0.0,0.0
190648,all purpose herbed butter,specific_ingredients_tags,25,0,0.0,0.0
615,easy garlic chicken breasts,time_tags,25,1,0.04,1.0
615,easy garlic chicken breasts,course_tags,25,0,0.0,0.0
615,easy garlic chicken breasts,cuisine_tags,25,3,0.12,1.0
615,easy garlic chicken breasts,dietary_tags,25,1,0.04,1.0
615,easy garlic chicken breasts,ingredient_tags,25,1,0.04,0.9999999999999998
615,easy garlic chicken breasts,taste_mood_tags,25,1,0.04,1.0
615,easy garlic chicken breasts,occasion_tags,25,2,0.08,1.0
615,easy garlic chicken breasts,technique_tags,25,2,0.08,1.0
615,easy garlic chicken breasts,equipment_tags,25,5,0.2,1.0
615,easy garlic chicken breasts,Health_tags,25,0,0.0,0.0
615,easy garlic chicken breasts,specific_ingredients_tags,25,2,0.08,1.0
291613,weight watchers rotel chicken spaghetti,time_tags,25,0,0.0,0.0
291613,weight watchers rotel chicken spaghetti,course_tags,25,0,0.0,0.0
291613,weight watchers rotel chicken spaghetti,cuisine_tags,25,0,0.0,0.0
291613,weight watchers rotel chicken spaghetti,dietary_tags,25,0,0.0,0.0
291613,weight watchers rotel chicken spaghetti,ingredient_tags,25,0,0.0,0.0
291613,weight watchers rotel chicken spaghetti,taste_mood_tags,25,0,0.0,0.0
291613,weight watchers rotel chicken spaghetti,occasion_tags,25,0,0.0,0.0
291613,weight watchers rotel chicken spaghetti,technique_tags,25,0,0.0,0.0
291613,weight watchers rotel chicken spaghetti,equipment_tags,25,0,0.0,0.0
291613,weight watchers rotel chicken spaghetti,Health_tags,25,1,0.04,0.9999999999999998
291613,weight watchers rotel chicken spaghetti,specific_ingredients_tags,25,0,0.0,0.0
37408,corned beef and cabbage pressure cooker,time_tags,25,0,0.0,0.0
37408,corned beef and cabbage pressure cooker,course_tags,25,0,0.0,0.0
37408,corned beef and cabbage pressure cooker,cuisine_tags,25,0,0.0,0.0
37408,corned beef and cabbage pressure cooker,dietary_tags,25,0,0.0,0.0
37408,corned beef and cabbage pressure cooker,ingredient_tags,25,1,0.04,1.0
37408,corned beef and cabbage pressure cooker,taste_mood_tags,25,0,0.0,0.0
37408,corned beef and cabbage pressure cooker,occasion_tags,25,0,0.0,0.0
37408,corned beef and cabbage pressure cooker,technique_tags,25,0,0.0,0.0
37408,corned beef and cabbage pressure cooker,equipment_tags,25,0,0.0,0.0
37408,corned beef and cabbage pressure cooker,Health_tags,25,0,0.0,0.0
37408,corned beef and cabbage pressure cooker,specific_ingredients_tags,25,0,0.0,0.0
210590,ben   jerry s cappuccino ice cream,time_tags,25,2,0.08,1.0
210590,ben   jerry s cappuccino ice cream,course_tags,25,3,0.12,1.0
210590,ben   jerry s cappuccino ice cream,cuisine_tags,25,2,0.08,1.0
210590,ben   jerry s cappuccino ice cream,dietary_tags,25,1,0.04,1.0
210590,ben   jerry s cappuccino ice cream,ingredient_tags,25,2,0.08,1.0
210590,ben   jerry s cappuccino ice cream,taste_mood_tags,25,1,0.04,1.0
210590,ben   jerry s cappuccino ice cream,occasion_tags,25,1,0.04,1.0
210590,ben   jerry s cappuccino ice cream,technique_tags,25,3,0.12,1.0
210590,ben   jerry s cappuccino ice cream,equipment_tags,25,2,0.08,1.0
210590,ben   jerry s cappuccino ice cream,Health_tags,25,2,0.08,1.0
210590,ben   jerry s cappuccino ice cream,specific_ingredients_tags,25,2,0.08,1.0
163309,tuna salsa wraps,time_tags,25,2,0.08,1.0
163309,tuna salsa wraps,course_tags,25,1,0.04,0.9999999999999998
163309,tuna salsa wraps,cuisine_tags,25,2,0.08,1.0
163309,tuna salsa wraps,dietary_tags,25,1,0.04,1.0
163309,tuna salsa wraps,ingredient_tags,25,0,0.0,0.0
163309,tuna salsa wraps,taste_mood_tags,25,0,0.0,0.0
163309,tuna salsa wraps,occasion_tags,25,2,0.08,1.0
163309,tuna salsa wraps,technique_tags,25,0,0.0,0.0
163309,tuna salsa wraps,equipment_tags,25,1,0.04,1.0
163309,tuna salsa wraps,Health_tags,25,2,0.08,1.0
163309,tuna salsa wraps,specific_ingredients_tags,25,1,0.04,1.0
94155,tomatoes and dumplings,time_tags,25,1,0.04,1.0
94155,tomatoes and dumplings,course_tags,25,0,0.0,0.0
94155,tomatoes and dumplings,cuisine_tags,25,0,0.0,0.0
94155,tomatoes and dumplings,dietary_tags,25,1,0.04,0.9999999999999998
94155,tomatoes and dumplings,ingredient_tags,25,0,0.0,0.0
94155,tomatoes and dumplings,taste_mood_tags,25,1,0.04,0.9999999999999998
94155,tomatoes and dumplings,occasion_tags,25,0,0.0,0.0
94155,tomatoes and dumplings,technique_tags,25,2,0.08,1.0
94155,tomatoes and dumplings,equipment_tags,25,0,0.0,0.0
94155,tomatoes and dumplings,Health_tags,25,0,0.0,0.0
94155,tomatoes and dumplings,specific_ingredients_tags,25,1,0.04,1.0
39896,snow capped hot dogs,time_tags,25,0,0.0,0.0
39896,snow capped hot dogs,course_tags,25,0,0.0,0.0
39896,snow capped hot dogs,cuisine_tags,25,0,0.0,0.0
39896,snow capped hot dogs,dietary_tags,25,1,0.04,1.0
39896,snow capped hot dogs,ingredient_tags,25,0,0.0,0.0
39896,snow capped hot dogs,taste_mood_tags,25,0,0.0,0.0
39896,snow capped hot dogs,occasion_tags,25,1,0.04,0.9999999999999998
39896,snow capped hot dogs,technique_tags,25,1,0.04,1.0
39896,snow capped hot dogs,equipment_tags,25,0,0.0,0.0
39896,snow capped hot dogs,Health_tags,25,0,0.0,0.0
39896,snow capped hot dogs,specific_ingredients_tags,25,0,0.0,0.0
97599,melt in your mouth bran muffins,time_tags,25,1,0.04,1.0
97599,melt in your mouth bran muffins,course_tags,25,3,0.12,0.9999999999999997
97599,melt in your mouth bran muffins,cuisine_tags,25,2,0.08,1.0
97599,melt in your mouth bran muffins,dietary_tags,25,0,0.0,0.0
97599,melt in your mouth bran muffins,ingredient_tags,25,1,0.04,1.0
97599,melt in your mouth bran muffins,taste_mood_tags,25,0,0.0,0.0
97599,melt in your mouth bran muffins,occasion_tags,25,1,0.04,0.9999999999999998
97599,melt in your mouth bran muffins,technique_tags,25,2,0.08,1.0
97599,melt in your mouth bran muffins,equipment_tags,25,1,0.04,1.0
97599,melt in your mouth bran muffins,Health_tags,25,2,0.08,0.9999999999999997
97599,melt in your mouth bran muffins,specific_ingredients_tags,25,3,0.12,1.0
121276,tx style pico de gallo  homemade salsa,time_tags,25,2,0.08,1.0
121276,tx style pico de gallo  homemade salsa,course_tags,25,0,0.0,0.0
121276,tx style pico de gallo  homemade salsa,cuisine_tags,25,2,0.08,0.9999999999999998
121276,tx style pico de gallo  homemade salsa,dietary_tags,25,3,0.12,0.9999999999999999
121276,tx style pico de gallo  homemade salsa,ingredient_tags,25,1,0.04,1.0
121276,tx style pico de gallo  homemade salsa,taste_mood_tags,25,2,0.08,1.0
121276,tx style pico de gallo  homemade salsa,occasion_tags,25,3,0.12,1.0
121276,tx style pico de gallo  homemade salsa,technique_tags,25,3,0.12,1.0
121276,tx style pico de gallo  homemade salsa,equipment_tags,25,4,0.16,1.0
121276,tx style pico de gallo  homemade salsa,Health_tags,25,0,0.0,0.0
121276,tx style pico de gallo  homemade salsa,specific_ingredients_tags,25,1,0.04,1.0
54655,coleslaw  blue cheese style,time_tags,25,0,0.0,0.0
54655,coleslaw  blue cheese style,course_tags,25,0,0.0,0.0
54655,coleslaw  blue cheese style,cuisine_tags,25,0,0.0,0.0
54655,coleslaw  blue cheese style,dietary_tags,25,2,0.08,1.0
54655,coleslaw  blue cheese style,ingredient_tags,25,1,0.04,1.0
54655,coleslaw  blue cheese style,taste_mood_tags,25,0,0.0,0.0
54655,coleslaw  blue cheese style,occasion_tags,25,0,0.0,0.0
54655,coleslaw  blue cheese style,technique_tags,25,0,0.0,0.0
